ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2;nb_digits_code_INSEE;code_commune_n
COMMUNE_0000000009758827;81064;81;76;200066124.0;CASTELNAU DE MONTMIRAL;1038;7.0;1418.0;5;81064
COMMUNE_0000000009747991;86129;86;75;248600413.0;LESIGNY;543;7.0;936.0;5;86129
COMMUNE_0000000009732371;54402;54;44;200070845.0;NORROY LE SEC;419;1.0;2222.0;5;54402
COMMUNE_0000000009755638;33535;33;75;243301355.0;TRESSES;4557;48.0;2996.0;5;33535
COMMUNE_0000000009733574;27215;27;28;242700607.0;ECQUETOT;381;;;5;27215
ARR_MUNI0000000009736047;75101;75;11;;PARIS 1ER ARRONDISSEMENT;16252;240.0;10969.0;5;75101
COMMUNE_0000000009729532;76294;76;28;200069839.0;GAILLARDE;388;7.0;1509.0;5;76294
COMMUNE_0000000009751944;73196;73;84;200068997.0;PALLUD;768;;;5;73196
COMMUNE_0000000009752641;24163;24;75;200071819.0;ETOUARS;154;;;5;24163
COMMUNE_0000000009730179;50209;50;28;200067205.0;GONNEVILLE LE THEIL;1574;26.0;1607.0;5;50209
COMMUNE_0000000009748314;71124;71;27;247104094.0;CHENOVES;206;3.0;1248.0;5;71124
COMMUNE_0000000009729541;76336;76;28;200069839.0;GUEUTTEVILLE LES GRES;367;5.0;1295.0;5;76336
COMMUNE_0000000009742705;56019;56;53;200067221.0;BILLIO;361;8.0;904.0;5;56019
COMMUNE_0000000009759787;32065;32;76;200072320.0;BROUILH MONBERT;227;6.0;980.0;5;32065
COMMUNE_0000000009730230;8341;8;44;240800862.0;POIX TERRON;793;;;5;08341
COMMUNE_0000000009760146;34180;34;76;243400355.0;NEBIAN;1395;26.0;1670.0;5;34180
COMMUNE_0000000009760120;13118;13;93;200054807.0;COUDOUX;3698;17.0;4028.0;5;13118
COMMUNE_0000000009752997;73141;73;84;200041010.0;LAISSAUD;660;2.0;2557.0;5;73141
COMMUNE_0000000009758341;30140;30;76;200034601.0;LASALLE;1147;14.0;1683.0;5;30140
COMMUNE_0000000009753448;17082;17;75;200041523.0;CHAMPAGNAC;525;1.0;1735.0;5;17082
COMMUNE_0000000009744480;70546;70;27;247000623.0;VEREUX;230;3.0;537.0;5;70546
COMMUNE_0000000009758434;47134;47;75;200068948.0;LANNES;373;7.0;1012.0;5;47134
COMMUNE_0000000009753738;38566;38;84;243800984.0;VOUREY;1710;5.0;2037.0;5;38566
COMMUNE_0000000009758905;40075;40;75;244000857.0;CASTETS;2254;25.0;2146.0;5;40075
COMMUNE_0000000009738606;67031;67;44;246701080.0;BERNARDSWILLER;1457;;;5;67031
COMMUNE_0000000009752430;17191;17;75;200036473.0;JARD;416;9.0;1063.0;5;17191
COMMUNE_0000000009742517;89019;89;27;200039642.0;ARTHONNAY;158;1.0;1723.0;5;89019
COMMUNE_0000000009760332;83004;83;93;248300493.0;ARCS;7104;57.0;2586.0;5;83004
COMMUNE_0000000009755781;46186;46;76;200066371.0;MASCLAT;357;1.0;1458.0;5;46186
COMMUNE_0000000009732711;14685;14;28;200065597.0;THAON;1503;2.0;1975.0;5;14685
COMMUNE_0000000009750997;42153;42;84;244200630.0;NEAUX;479;6.0;1129.0;5;42153
COMMUNE_0000000009743192;89482;89;27;200039642.0;VIVIERS;134;;;5;89482
COMMUNE_0000000009734015;95295;95;11;200035970.0;GUIRY EN VEXIN;166;3.0;2764.0;5;95295
